cell_id,geometry_wkt,latitude,longitude,cell_type,population,household_count,building_count,road_length_km,hospital_count,school_count,shelter_count,population_density
C016,"SRID=4326;POLYGON((76.27349409964194 10.742353698344209, 76.28349409964193 10.742353698344209, 76.28349409964193 10.75235369834421, 76.27349409964194 10.75235369834421, 76.27349409964194 10.742353698344209))",10.74735369834421,76.27849409964193,residential,73001,16222,486,1142.16,0,14,0,743.42
C017,"SRID=4326;POLYGON((76.2705359642643 10.750504306929477, 76.28053596426429 10.750504306929477, 76.28053596426429 10.760504306929478, 76.2705359642643 10.760504306929478, 76.2705359642643 10.750504306929477))",10.755504306929478,76.2755359642643,residential,49969,11104,333,940.42,0,9,0,651.8
C018,"SRID=4326;POLYGON((76.32919497835636 10.761235223771536, 76.33919497835635 10.761235223771536, 76.33919497835635 10.771235223771537, 76.32919497835636 10.771235223771537, 76.32919497835636 10.761235223771536))",10.766235223771536,76.33419497835635,residential,45071,10015,300,842.98,0,9,0,796.62
C019,"SRID=4326;POLYGON((76.37943743279797 10.734141381492822, 76.38943743279796 10.734141381492822, 76.38943743279796 10.744141381492824, 76.37943743279797 10.744141381492824, 76.37943743279797 10.734141381492822))",10.739141381492823,76.38443743279797,commercial,30807,6846,205,572.73,0,6,0,632.05
C020,"SRID=4326;POLYGON((76.37746842302211 10.729488403780957, 76.3874684230221 10.729488403780957, 76.3874684230221 10.739488403780959, 76.37746842302211 10.739488403780959, 76.37746842302211 10.729488403780957))",10.734488403780958,76.3824684230221,residential,60681,13484,404,574.79,0,12,0,856.82
C021,"SRID=4326;POLYGON((76.15269064979937 10.754963703487002, 76.16269064979936 10.754963703487002, 76.16269064979936 10.764963703487004, 76.15269064979937 10.764963703487004, 76.15269064979937 10.754963703487002))",10.759963703487003,76.15769064979936,commercial,38418,8537,256,777.9,0,7,0,513.01
C022,"SRID=4326;POLYGON((76.18202657162301 10.770219026469876, 76.192026571623 10.770219026469876, 76.192026571623 10.780219026469878, 76.18202657162301 10.780219026469878, 76.18202657162301 10.770219026469876))",10.775219026469877,76.18702657162301,industrial,10296,2288,68,331.12,0,2,0,269.02
C023,"SRID=4326;POLYGON((76.22351656779412 10.74679640113116, 76.23351656779411 10.74679640113116, 76.23351656779411 10.756796401131162, 76.22351656779412 10.756796401131162, 76.22351656779412 10.74679640113116))",10.75179640113116,76.22851656779412,residential,65408,14535,436,1002.53,0,13,0,927.08
C024,"SRID=4326;POLYGON((76.24347719560541 10.782825151772949, 76.2534771956054 10.782825151772949, 76.2534771956054 10.79282515177295, 76.24347719560541 10.79282515177295, 76.24347719560541 10.782825151772949))",10.78782515177295,76.2484771956054,residential,43551,9678,290,410.59,0,8,0,852.32
C025,"SRID=4326;POLYGON((76.28151297734163 10.80062102469883, 76.29151297734163 10.80062102469883, 76.29151297734163 10.81062102469883, 76.28151297734163 10.81062102469883, 76.28151297734163 10.80062102469883))",10.80562102469883,76.28651297734163,residential,64926,14428,432,932.08,0,12,0,715.92
C026,"SRID=4326;POLYGON((76.30056560401519 10.787110513385004, 76.31056560401518 10.787110513385004, 76.31056560401518 10.797110513385006, 76.30056560401519 10.797110513385006, 76.30056560401519 10.787110513385004))",10.792110513385005,76.30556560401519,commercial,24192,5376,161,432.0,0,4,0,543.65
C027,"SRID=4326;POLYGON((76.32558914782413 10.783914936201729, 76.33558914782412 10.783914936201729, 76.33558914782412 10.79391493620173, 76.32558914782413 10.79391493620173, 76.32558914782413 10.783914936201729))",10.78891493620173,76.33058914782413,commercial,29422,6538,196,460.69,0,5,0,598.2
C028,"SRID=4326;POLYGON((76.33187548121298 10.778840109502054, 76.34187548121297 10.778840109502054, 76.34187548121297 10.788840109502056, 76.33187548121298 10.788840109502056, 76.33187548121298 10.778840109502054))",10.783840109502055,76.33687548121297,residential,72916,16203,486,1111.11,0,14,1,945.26
C029,"SRID=4326;POLYGON((76.3787153328788 10.775248488889044, 76.38871533287879 10.775248488889044, 76.38871533287879 10.785248488889046, 76.3787153328788 10.785248488889046, 76.3787153328788 10.775248488889044))",10.780248488889045,76.3837153328788,rural,5388,1197,35,482.76,0,1,0,114.05
C030,"SRID=4326;POLYGON((76.39841843517651 10.781676884883268, 76.4084184351765 10.781676884883268, 76.4084184351765 10.79167688488327, 76.39841843517651 10.79167688488327, 76.39841843517651 10.781676884883268))",10.786676884883269,76.4034184351765,commercial,30375,6750,202,380.13,0,6,0,717.61
C031,"SRID=4326;POLYGON((76.16573700137371 10.823823181787253, 76.1757370013737 10.823823181787253, 76.1757370013737 10.833823181787254, 76.16573700137371 10.833823181787254, 76.16573700137371 10.823823181787253))",10.828823181787254,76.17073700137371,commercial,22339,4964,148,452.94,0,4,0,674.25
C032,"SRID=4326;POLYGON((76.25460214597126 10.81609562564986, 76.26460214597125 10.81609562564986, 76.26460214597125 10.826095625649861, 76.25460214597126 10.826095625649861, 76.25460214597126 10.81609562564986))",10.82109562564986,76.25960214597126,industrial,12957,2879,86,387.29,0,2,0,346.8
C033,"SRID=4326;POLYGON((76.19910492694787 10.79446511247937, 76.20910492694786 10.79446511247937, 76.20910492694786 10.804465112479372, 76.19910492694787 10.804465112479372, 76.19910492694787 10.79446511247937))",10.799465112479371,76.20410492694786,residential,58992,13109,393,978.44,1,11,0,731.69
C034,"SRID=4326;POLYGON((76.24879495262739 10.794755527226174, 76.25879495262738 10.794755527226174, 76.25879495262738 10.804755527226176, 76.24879495262739 10.804755527226176, 76.24879495262739 10.794755527226174))",10.799755527226175,76.25379495262739,residential,58278,12950,388,625.3,0,11,0,886.4
C035,"SRID=4326;POLYGON((76.23799536763721 10.80594479653846, 76.2479953676372 10.80594479653846, 76.2479953676372 10.815944796538462, 76.23799536763721 10.815944796538462, 76.23799536763721 10.80594479653846))",10.810944796538461,76.2429953676372,industrial,14758,3279,98,501.49,0,2,0,301.96
C036,"SRID=4326;POLYGON((76.27733356244389 10.78782387592578, 76.28733356244388 10.78782387592578, 76.28733356244388 10.797823875925781, 76.27733356244389 10.797823875925781, 76.27733356244389 10.78782387592578))",10.79282387592578,76.28233356244388,residential,73692,16376,491,1045.22,0,14,0,907.51
C037,"SRID=4326;POLYGON((76.29299534579188 10.794690371650573, 76.30299534579187 10.794690371650573, 76.30299534579187 10.804690371650574, 76.29299534579188 10.804690371650574, 76.29299534579188 10.794690371650573))",10.799690371650573,76.29799534579188,industrial,7799,1733,51,289.57,0,1,0,354.58
C038,"SRID=4326;POLYGON((76.32423703221802 10.772108216952345, 76.33423703221801 10.772108216952345, 76.33423703221801 10.782108216952347, 76.32423703221802 10.782108216952347, 76.32423703221802 10.772108216952345))",10.777108216952346,76.32923703221802,residential,66524,14783,443,909.46,1,13,0,644.61
C039,"SRID=4326;POLYGON((76.3794703058643 10.814555555203162, 76.3894703058643 10.814555555203162, 76.3894703058643 10.824555555203164, 76.3794703058643 10.824555555203164, 76.3794703058643 10.814555555203162))",10.819555555203163,76.3844703058643,residential,43424,9649,289,616.21,0,8,0,797.32
C040,"SRID=4326;POLYGON((76.35845071853726 10.840254839003928, 76.36845071853725 10.840254839003928, 76.36845071853725 10.850254839003929, 76.35845071853726 10.850254839003929, 76.35845071853726 10.840254839003928))",10.845254839003928,76.36345071853725,commercial,24365,5414,162,445.46,0,4,0,630.21
C041,"SRID=4326;POLYGON((76.14360506211376 10.827609026468506, 76.15360506211375 10.827609026468506, 76.15360506211375 10.837609026468508, 76.14360506211376 10.837609026468508, 76.14360506211376 10.827609026468506))",10.832609026468507,76.14860506211376,industrial,8881,1973,59,313.8,0,1,0,317.19
C042,"SRID=4326;POLYGON((76.16739482567216 10.841485451677912, 76.17739482567215 10.841485451677912, 76.17739482567215 10.851485451677913, 76.16739482567216 10.851485451677913, 76.16739482567216 10.841485451677912))",10.846485451677912,76.17239482567216,commercial,16734,3718,111,269.75,0,3,0,504.19
C043,"SRID=4326;POLYGON((76.18644892803569 10.827486545938221, 76.19644892803568 10.827486545938221, 76.19644892803568 10.837486545938223, 76.18644892803569 10.837486545938223, 76.18644892803569 10.827486545938221))",10.832486545938222,76.19144892803568,commercial,35361,7858,235,569.96,0,7,0,547.65
C044,"SRID=4326;POLYGON((76.23761922626056 10.839813814312269, 76.24761922626055 10.839813814312269, 76.24761922626055 10.84981381431227, 76.23761922626056 10.84981381431227, 76.23761922626056 10.839813814312269))",10.84481381431227,76.24261922626056,commercial,19435,4318,129,401.8,0,3,0,660.15
C045,"SRID=4326;POLYGON((76.23931691812913 10.859611673422451, 76.24931691812913 10.859611673422451, 76.24931691812913 10.869611673422453, 76.23931691812913 10.869611673422453, 76.23931691812913 10.859611673422451))",10.864611673422452,76.24431691812913,residential,72576,16128,483,873.03,0,14,0,914.69
C046,"SRID=4326;POLYGON((76.28032191409245 10.860213055289822, 76.29032191409244 10.860213055289822, 76.29032191409244 10.870213055289824, 76.28032191409245 10.870213055289824, 76.28032191409245 10.860213055289822))",10.865213055289823,76.28532191409245,residential,71343,15854,475,753.59,0,14,0,764.54
C047,"SRID=4326;POLYGON((76.30451340249878 10.838995488702452, 76.31451340249878 10.838995488702452, 76.31451340249878 10.848995488702453, 76.30451340249878 10.848995488702453, 76.30451340249878 10.838995488702452))",10.843995488702452,76.30951340249878,commercial,30795,6843,205,526.81,0,6,0,587.63
C048,"SRID=4326;POLYGON((76.34958293409679 10.848649801719418, 76.35958293409678 10.848649801719418, 76.35958293409678 10.85864980171942, 76.34958293409679 10.85864980171942, 76.34958293409679 10.848649801719418))",10.853649801719419,76.35458293409678,commercial,27360,6080,182,656.37,0,5,0,493.81
C049,"SRID=4326;POLYGON((76.35534119116419 10.81413789844773, 76.36534119116418 10.81413789844773, 76.36534119116418 10.82413789844773, 76.35534119116419 10.82413789844773, 76.35534119116419 10.81413789844773))",10.81913789844773,76.36034119116418,residential,66652,14811,444,692.74,0,13,0,837.83
C050,"SRID=4326;POLYGON((76.39504421933118 10.821801874473117, 76.40504421933117 10.821801874473117, 76.40504421933117 10.831801874473118, 76.39504421933118 10.831801874473118, 76.39504421933118 10.821801874473117))",10.826801874473118,76.40004421933118,residential,74532,16562,496,1039.3,0,14,0,759.77
C051,"SRID=4326;POLYGON((76.1375653250125 10.843479584405353, 76.1475653250125 10.843479584405353, 76.1475653250125 10.853479584405354, 76.1375653250125 10.853479584405354, 76.1375653250125 10.843479584405353))",10.848479584405354,76.1425653250125,commercial,25605,5690,170,322.24,0,5,1,697.53
C052,"SRID=4326;POLYGON((76.16872239609846 10.84426015997578, 76.17872239609845 10.84426015997578, 76.17872239609845 10.854260159975782, 76.16872239609846 10.854260159975782, 76.16872239609846 10.84426015997578))",10.849260159975781,76.17372239609846,residential,44113,9802,294,688.03,0,8,0,847.75
C053,"SRID=4326;POLYGON((76.17871859362549 10.827757081676278, 76.18871859362548 10.827757081676278, 76.18871859362548 10.83775708167628, 76.17871859362549 10.83775708167628, 76.17871859362549 10.827757081676278))",10.832757081676279,76.18371859362549,commercial,39080,8684,260,1196.81,1,7,0,482.92
C054,"SRID=4326;POLYGON((76.22509869447487 10.863858756363468, 76.23509869447486 10.863858756363468, 76.23509869447486 10.87385875636347, 76.22509869447487 10.87385875636347, 76.22509869447487 10.863858756363468))",10.868858756363469,76.23009869447486,residential,59384,13196,395,728.83,0,11,0,950.18
C055,"SRID=4326;POLYGON((76.23544716769459 10.905568809892142, 76.24544716769458 10.905568809892142, 76.24544716769458 10.915568809892143, 76.23544716769459 10.915568809892143, 76.23544716769459 10.905568809892142))",10.910568809892142,76.24044716769458,industrial,7809,1735,52,313.9,0,1,0,354.05
C056,"SRID=4326;POLYGON((76.26666375144103 10.84085736557447, 76.27666375144102 10.84085736557447, 76.27666375144102 10.850857365574472, 76.26666375144103 10.850857365574472, 76.26666375144103 10.84085736557447))",10.84585736557447,76.27166375144103,residential,52367,11637,349,541.18,0,10,0,826.77
C057,"SRID=4326;POLYGON((76.34868283617415 10.866402831908696, 76.35868283617414 10.866402831908696, 76.35868283617414 10.876402831908697, 76.34868283617415 10.876402831908697, 76.34868283617415 10.866402831908696))",10.871402831908696,76.35368283617414,residential,68482,15218,456,728.44,0,13,0,859.11
C058,"SRID=4326;POLYGON((76.37521751018784 10.830467930659013, 76.38521751018783 10.830467930659013, 76.38521751018783 10.840467930659015, 76.37521751018784 10.840467930659015, 76.37521751018784 10.830467930659013))",10.835467930659014,76.38021751018783,industrial,5263,1169,35,252.36,0,1,0,285.18
C059,"SRID=4326;POLYGON((76.39222236259471 10.821972766938575, 76.4022223625947 10.821972766938575, 76.4022223625947 10.831972766938577, 76.39222236259471 10.831972766938577, 76.39222236259471 10.821972766938575))",10.826972766938576,76.3972223625947,rural,5611,1246,37,517.97,0,1,0,90.94
C060,"SRID=4326;POLYGON((76.39681443078764 10.891796936712083, 76.40681443078763 10.891796936712083, 76.40681443078763 10.901796936712085, 76.39681443078764 10.901796936712085, 76.39681443078764 10.891796936712083))",10.896796936712084,76.40181443078764,industrial,9505,2112,63,546.06,0,1,0,255.5
C061,"SRID=4326;POLYGON((76.17619802554663 10.908969120305091, 76.18619802554662 10.908969120305091, 76.18619802554662 10.918969120305093, 76.17619802554663 10.918969120305093, 76.17619802554663 10.908969120305091))",10.913969120305092,76.18119802554662,residential,43974,9772,293,598.84,0,8,0,854.9
C062,"SRID=4326;POLYGON((76.19517237196959 10.88971563033313, 76.20517237196958 10.88971563033313, 76.20517237196958 10.899715630333132, 76.19517237196959 10.899715630333132, 76.19517237196959 10.88971563033313))",10.894715630333131,76.20017237196959,industrial,6340,1408,42,345.99,0,1,0,243.45
C063,"SRID=4326;POLYGON((76.18976645147825 10.876664317258987, 76.19976645147824 10.876664317258987, 76.19976645147824 10.886664317258989, 76.18976645147825 10.886664317258989, 76.18976645147825 10.876664317258987))",10.881664317258988,76.19476645147824,residential,52270,11615,348,677.72,0,10,0,828.77
C064,"SRID=4326;POLYGON((76.17702938999898 10.890367771225371, 76.18702938999897 10.890367771225371, 76.18702938999897 10.900367771225373, 76.17702938999898 10.900367771225373, 76.17702938999898 10.890367771225371))",10.895367771225372,76.18202938999897,commercial,30552,6789,203,651.39,0,6,0,686.97
C065,"SRID=4326;POLYGON((76.25111759542938 10.849210649959888, 76.26111759542937 10.849210649959888, 76.26111759542937 10.85921064995989, 76.25111759542938 10.85921064995989, 76.25111759542938 10.849210649959888))",10.854210649959889,76.25611759542937,residential,74301,16511,495,959.58,0,14,0,797.64
C066,"SRID=4326;POLYGON((76.25916785349871 10.893966989104797, 76.2691678534987 10.893966989104797, 76.2691678534987 10.903966989104799, 76.25916785349871 10.903966989104799, 76.25916785349871 10.893966989104797))",10.898966989104798,76.2641678534987,residential,52098,11577,347,636.08,0,10,0,926.97
C067,"SRID=4326;POLYGON((76.28992326330719 10.87457551095411, 76.29992326330718 10.87457551095411, 76.29992326330718 10.884575510954111, 76.28992326330719 10.884575510954111, 76.28992326330719 10.87457551095411))",10.87957551095411,76.29492326330718,residential,43104,9578,287,713.03,0,8,0,678.6
C068,"SRID=4326;POLYGON((76.33567388462589 10.928521083954948, 76.34567388462588 10.928521083954948, 76.34567388462588 10.93852108395495, 76.33567388462589 10.93852108395495, 76.33567388462589 10.928521083954948))",10.933521083954949,76.34067388462589,residential,67979,15106,453,692.97,0,13,0,840.93
C069,"SRID=4326;POLYGON((76.35755187642158 10.88361182595263, 76.36755187642157 10.88361182595263, 76.36755187642157 10.893611825952632, 76.35755187642158 10.893611825952632, 76.35755187642158 10.88361182595263))",10.888611825952632,76.36255187642158,industrial,7093,1576,47,284.05,0,1,0,284.46
C070,"SRID=4326;POLYGON((76.3844530076482 10.921607410021648, 76.3944530076482 10.921607410021648, 76.3944530076482 10.93160741002165, 76.3844530076482 10.93160741002165, 76.3844530076482 10.921607410021648))",10.92660741002165,76.3894530076482,residential,48835,10852,325,802.4,0,9,0,868.27
C071,"SRID=4326;POLYGON((76.12122798098606 10.91030178180582, 76.13122798098605 10.91030178180582, 76.13122798098605 10.920301781805822, 76.12122798098606 10.920301781805822, 76.12122798098606 10.91030178180582))",10.915301781805821,76.12622798098606,commercial,21731,4829,144,310.05,0,4,0,570.55
C072,"SRID=4326;POLYGON((76.1620607291282 10.896349189828047, 76.17206072912819 10.896349189828047, 76.17206072912819 10.906349189828049, 76.1620607291282 10.906349189828049, 76.1620607291282 10.896349189828047))",10.901349189828048,76.1670607291282,commercial,31977,7106,213,548.83,0,6,0,669.4
C073,"SRID=4326;POLYGON((76.20916667108806 10.945999980049073, 76.21916667108805 10.945999980049073, 76.21916667108805 10.955999980049075, 76.20916667108806 10.955999980049075, 76.20916667108806 10.945999980049073))",10.950999980049074,76.21416667108805,residential,44465,9881,296,641.39,0,8,0,730.81
C074,"SRID=4326;POLYGON((76.23721535938351 10.88282826867418, 76.2472153593835 10.88282826867418, 76.2472153593835 10.892828268674181, 76.23721535938351 10.892828268674181, 76.23721535938351 10.88282826867418))",10.88782826867418,76.24221535938351,residential,45350,10077,302,575.77,0,9,0,718.71
C075,"SRID=4326;POLYGON((76.2340469437424 10.914116683847455, 76.24404694374239 10.914116683847455, 76.24404694374239 10.924116683847457, 76.2340469437424 10.924116683847457, 76.2340469437424 10.914116683847455))",10.919116683847456,76.2390469437424,residential,74383,16529,495,1186.97,0,14,0,675.85
C076,"SRID=4326;POLYGON((76.29648961096277 10.900596836095819, 76.30648961096276 10.900596836095819, 76.30648961096276 10.91059683609582, 76.29648961096277 10.91059683609582, 76.29648961096277 10.900596836095819))",10.90559683609582,76.30148961096276,residential,63402,14089,422,804.69,0,12,0,937.4
C077,"SRID=4326;POLYGON((76.31994038287053 10.898740567374144, 76.32994038287052 10.898740567374144, 76.32994038287052 10.908740567374146, 76.31994038287053 10.908740567374146, 76.31994038287053 10.898740567374144))",10.903740567374145,76.32494038287052,residential,54890,12197,365,663.31,0,10,0,802.44
C078,"SRID=4326;POLYGON((76.29831882690021 10.926874972081672, 76.3083188269002 10.926874972081672, 76.3083188269002 10.936874972081673, 76.29831882690021 10.936874972081673, 76.29831882690021 10.926874972081672))",10.931874972081673,76.30331882690021,residential,56839,12630,378,586.52,0,11,0,810.43
C079,"SRID=4326;POLYGON((76.34971617077841 10.934825249928961, 76.3597161707784 10.934825249928961, 76.3597161707784 10.944825249928963, 76.34971617077841 10.944825249928963, 76.34971617077841 10.934825249928961))",10.939825249928962,76.3547161707784,residential,63852,14189,425,879.73,0,12,0,883.27
C080,"SRID=4326;POLYGON((76.385465501818 10.92554480274985, 76.395465501818 10.92554480274985, 76.395465501818 10.93554480274985, 76.385465501818 10.93554480274985, 76.385465501818 10.92554480274985))",10.93054480274985,76.390465501818,industrial,12308,2735,82,323.53,0,2,0,352.6
C081,"SRID=4326;POLYGON((76.14786553996922 10.96534393646832, 76.15786553996921 10.96534393646832, 76.15786553996921 10.975343936468322, 76.14786553996922 10.975343936468322, 76.14786553996922 10.96534393646832))",10.970343936468321,76.15286553996921,residential,67834,15074,452,880.57,0,13,0,704.52
C082,"SRID=4326;POLYGON((76.21547382693258 10.946359996905867, 76.22547382693257 10.946359996905867, 76.22547382693257 10.956359996905869, 76.21547382693258 10.956359996905869, 76.21547382693258 10.946359996905867))",10.951359996905868,76.22047382693258,residential,70702,15711,471,1266.7,0,14,0,765.58
C083,"SRID=4326;POLYGON((76.1895638048184 10.899645039545387, 76.1995638048184 10.899645039545387, 76.1995638048184 10.909645039545389, 76.1895638048184 10.909645039545389, 76.1895638048184 10.899645039545387))",10.904645039545388,76.1945638048184,commercial,20805,4623,138,319.51,0,4,0,695.9
C084,"SRID=4326;POLYGON((76.23113854388924 10.920963439093665, 76.24113854388924 10.920963439093665, 76.24113854388924 10.930963439093667, 76.23113854388924 10.930963439093667, 76.23113854388924 10.920963439093665))",10.925963439093666,76.23613854388924,industrial,6392,1420,42,235.27,0,1,0,335.28
C085,"SRID=4326;POLYGON((76.26123068683071 10.929556323807109, 76.2712306868307 10.929556323807109, 76.2712306868307 10.93955632380711, 76.26123068683071 10.93955632380711, 76.26123068683071 10.929556323807109))",10.93455632380711,76.26623068683071,residential,48697,10821,324,456.69,0,9,0,878.06
C086,"SRID=4326;POLYGON((76.29811317719475 10.932580503053558, 76.30811317719474 10.932580503053558, 76.30811317719474 10.94258050305356, 76.29811317719475 10.94258050305356, 76.29811317719475 10.932580503053558))",10.937580503053558,76.30311317719475,commercial,36161,8035,241,763.52,0,7,0,510.6
C087,"SRID=4326;POLYGON((76.28707686117409 10.956461916035575, 76.29707686117408 10.956461916035575, 76.29707686117408 10.966461916035577, 76.28707686117409 10.966461916035577, 76.28707686117409 10.956461916035575))",10.961461916035576,76.29207686117408,industrial,10427,2317,69,402.08,0,2,0,270.22
C088,"SRID=4326;POLYGON((76.36783328853478 10.901635778402069, 76.37783328853477 10.901635778402069, 76.37783328853477 10.91163577840207, 76.36783328853478 10.91163577840207, 76.36783328853478 10.901635778402069))",10.90663577840207,76.37283328853478,residential,73154,16256,487,1284.96,0,14,0,689.07
C089,"SRID=4326;POLYGON((76.37839447884917 10.942459887450916, 76.38839447884916 10.942459887450916, 76.38839447884916 10.952459887450917, 76.37839447884917 10.952459887450917, 76.37839447884917 10.942459887450916))",10.947459887450917,76.38339447884917,industrial,6525,1450,43,258.48,0,1,0,309.15
C090,"SRID=4326;POLYGON((76.38716636363144 10.91869773361603, 76.39716636363143 10.91869773361603, 76.39716636363143 10.928697733616032, 76.38716636363144 10.928697733616032, 76.38716636363144 10.91869773361603))",10.92369773361603,76.39216636363143,industrial,14208,3157,94,479.88,0,2,0,344.39
C091,"SRID=4326;POLYGON((76.13286653120674 10.96370523462532, 76.14286653120674 10.96370523462532, 76.14286653120674 10.97370523462532, 76.13286653120674 10.97370523462532, 76.13286653120674 10.96370523462532))",10.96870523462532,76.13786653120674,commercial,23337,5186,155,476.9,0,4,0,575.56
C092,"SRID=4326;POLYGON((76.15176454346552 10.994583795601637, 76.16176454346551 10.994583795601637, 76.16176454346551 11.004583795601638, 76.15176454346552 11.004583795601638, 76.15176454346552 10.994583795601637))",10.999583795601637,76.15676454346551,residential,47861,10635,319,548.02,0,9,0,784.78
C093,"SRID=4326;POLYGON((76.19384135227047 10.984514899678071, 76.20384135227046 10.984514899678071, 76.20384135227046 10.994514899678073, 76.19384135227047 10.994514899678073, 76.19384135227047 10.984514899678071))",10.989514899678072,76.19884135227046,residential,60320,13404,402,579.45,0,12,0,842.32
C094,"SRID=4326;POLYGON((76.22119918200494 10.9498435552254, 76.23119918200493 10.9498435552254, 76.23119918200493 10.959843555225401, 76.22119918200494 10.959843555225401, 76.22119918200494 10.9498435552254))",10.9548435552254,76.22619918200493,commercial,29884,6640,199,798.14,0,5,0,496.1
C095,"SRID=4326;POLYGON((76.24030127231958 10.954718118770156, 76.25030127231958 10.954718118770156, 76.25030127231958 10.964718118770158, 76.24030127231958 10.964718118770158, 76.24030127231958 10.954718118770156))",10.959718118770157,76.24530127231958,residential,56522,12560,376,582.61,0,11,0,820.75
C096,"SRID=4326;POLYGON((76.30388926906292 10.909803355494205, 76.31388926906291 10.909803355494205, 76.31388926906291 10.919803355494206, 76.30388926906292 10.919803355494206, 76.30388926906292 10.909803355494205))",10.914803355494206,76.30888926906292,residential,59587,13241,397,801.22,0,11,0,689.68
